"商品","ステータス","タイプ","スポンサープロダクト広告の利用資格","売上(JPY)","ROAS","コンバージョン率","インプレッション数","クリック数","クリック率  (CTR）","広告費(JPY)","平均クリック単価 (CPC)(JPY)","注文","ACOS","新規顧客の注文","新規顧客の注文比率","新規顧客の売上(JPY)","新規顧客の売上比率","ビューアブルインプレッション"
"B07RNDQ5S7-8Q-VTYS-YQ5Z","","","利用資格あり","26334.00","8.32","0.1468","15437","109","0.0071","3164.28","29.03","16","0.1202","0","0.0000","0.00","0.0000","0"
"B0B1VQRNJR-US-OH0Y-DZJN","","","利用資格あり","20574.00","3.83","0.0588","7295","136","0.0186","5365.72","39.45","8","0.2608","0","0.0000","0.00","0.0000","0"
"B07RRJ5TNV-C8-VY3A-HL06","","","利用資格あり","14630.00","5.10","0.1053","17968","95","0.0053","2868.59","30.20","10","0.1961","0","0.0000","0.00","0.0000","0"
"B07RNDMDMY-NR-5Z4P-2YBS","","","利用資格あり","7668.00","3.77","0.1053","48786","57","0.0012","2035.90","35.72","6","0.2655","0","0.0000","0.00","0.0000","0"
"B07STZQL61-IL-1DYL-IXMN","","","利用資格あり","5480.00","15.87","0.1429","7043","28","0.0040","345.21","12.33","4","0.0630","0","0.0000","0.00","0.0000","0"
"B07RNDP5VC-3T-Y9S7-7048","","","利用資格あり","5297.00","6.00","0.1481","10671","27","0.0025","882.24","32.68","4","0.1666","0","0.0000","0.00","0.0000","0"
"B089Y3K8VM-6W-T59B-X4CS","","","利用資格あり","5148.00","7.57","0.1176","6406","17","0.0027","680.00","40.00","2","0.1321","0","0.0000","0.00","0.0000","0"
"B089WG4GNW-F6-17RZ-7XNS","","","利用資格あり","4778.00","18.22","0.2857","5641","7","0.0012","262.18","37.45","2","0.0549","0","0.0000","0.00","0.0000","0"
"B09N2R39T8-ZG-5AI3-DLD9","","","広告配信の利用資格なし","4778.00","20.42","0.3333","480","6","0.0125","234.00","39.00","2","0.0490","0","0.0000","0.00","0.0000","0"
"B07SSHRDYL-0L-8U5H-FML5","","","利用資格あり","4407.00","1101.75","2.0000","5","1","0.2000","4.00","4.00","2","0.0009","0","0.0000","0.00","0.0000","0"
"B07RRJ2MLN-QU-WN46-REY2","","","利用資格あり","4389.00","6.51","0.1429","9189","21","0.0023","674.30","32.11","3","0.1536","0","0.0000","0.00","0.0000","0"
"B089WHDKSV-Z6-YMP1-EWGJ","","","利用資格あり","3963.00","12.05","0.2222","11978","9","0.0008","328.78","36.53","2","0.0830","0","0.0000","0.00","0.0000","0"
"B07RRJ3RVV-91-7A3K-7U8I","","","利用資格あり","2556.00","2.72","0.0690","13904","29","0.0021","940.61","32.43","2","0.3680","0","0.0000","0.00","0.0000","0"
"B089WHXT1Z-SN-NFFV-BYW0","","","利用資格あり","2389.00","10.30","0.1667","2012","6","0.0030","232.00","38.67","1","0.0971","0","0.0000","0.00","0.0000","0"
"B089Y2T8BZ-IJ-I7ZU-ZNHG","","","利用資格あり","2389.00","29.86","0.5000","460","2","0.0043","80.00","40.00","1","0.0335","0","0.0000","0.00","0.0000","0"
"B09837JSYS-9G-33E6-R3JX","","","広告配信の利用資格なし","2389.00","16.33","0.2500","1375","4","0.0029","146.28","36.57","1","0.0612","0","0.0000","0.00","0.0000","0"
"B09838NFL3-91-6HG1-LVP0","","","利用資格あり","2389.00","34.18","0.5000","1103","2","0.0018","69.90","34.95","1","0.0293","0","0.0000","0.00","0.0000","0"
"B09838WLPH-MM-RGM0-JIRO","","","利用資格あり","2389.00","4.15","0.0526","5022","19","0.0038","576.17","30.32","1","0.2412","0","0.0000","0.00","0.0000","0"
"B0983P7ZQ2-TV-KRHB-L7VJ","","","利用資格あり","2389.00","3.63","0.0588","4003","17","0.0042","658.01","38.71","1","0.2754","0","0.0000","0.00","0.0000","0"
"B098DYTNQM-74-MTWF-NKK7","","","利用資格あり","2389.00","59.73","1.0000","665","1","0.0015","40.00","40.00","1","0.0167","0","0.0000","0.00","0.0000","0"
"B077TZ9FRY-PX-210E-61XS","","","利用資格あり","2296.00","588.72","1.0000","60","1","0.0167","3.90","3.90","1","0.0017","0","0.0000","0.00","0.0000","0"
"B0B1VQ33GC-MD-6D6Z-EUFT","","","利用資格あり","2296.00","1.61","0.0263","5629","38","0.0068","1430.32","37.64","1","0.6230","0","0.0000","0.00","0.0000","0"
"B07ZDCPB8Y-HW-3LSQ-LI50","","","利用資格あり","1741.00","5.44","0.1250","4926","8","0.0016","320.00","40.00","1","0.1838","0","0.0000","0.00","0.0000","0"
"B07ZDCZWF8-Z2-RKNI-R052","","","利用資格あり","1741.00","3.65","0.0833","1787","12","0.0067","477.09","39.76","1","0.2740","0","0.0000","0.00","0.0000","0"
"B07SPZD9NB-JH-6QHS-4DIJ","","","利用資格あり","1556.00","26.16","0.2000","1702","5","0.0029","59.49","11.90","1","0.0382","0","0.0000","0.00","0.0000","0"
"B07SPZGD94-BT-GNOC-X8Y0","","","利用資格あり","1556.00","26.20","0.2000","3271","5","0.0015","59.40","11.88","1","0.0382","0","0.0000","0.00","0.0000","0"
"B07RQGYK5R-6G-28VM-5OPH","","","利用資格あり","1463.00","28.13","0.2500","1428","4","0.0028","52.00","13.00","1","0.0355","0","0.0000","0.00","0.0000","0"
"B07SZTK5TQ-QQ-ASB4-1792","","","利用資格あり","1463.00","6.40","0.0435","1716","23","0.0134","228.54","9.94","1","0.1562","0","0.0000","0.00","0.0000","0"
"B0829RCZH4-2C-OMB5-LWES","","","利用資格あり","1463.00","7.36","0.2000","1391","5","0.0036","198.84","39.77","1","0.1359","0","0.0000","0.00","0.0000","0"
"B0829T96PP-S0-6P3X-ACUO","","","利用資格あり","1463.00","2.54","0.0625","3424","16","0.0047","575.72","35.98","1","0.3935","0","0.0000","0.00","0.0000","0"
"B07RTNMVT2-KG-RIPQ-GZ7M","","","利用資格あり","1370.00","15.50","0.1429","1824","7","0.0038","88.39","12.63","1","0.0645","0","0.0000","0.00","0.0000","0"
"B07RRJ26W4-1Y-ZHNR-8I9D","","","利用資格あり","1278.00","20.52","0.2000","781","5","0.0064","62.29","12.46","1","0.0487","0","0.0000","0.00","0.0000","0"
"B07RRJ9NF3-FK-YHDF-YOTK","","","利用資格あり","1278.00","49.15","0.5000","135","2","0.0148","26.00","13.00","1","0.0203","0","0.0000","0.00","0.0000","0"
"B07RTK9R3K-92-Y7D9-GO9Q","","","広告配信の利用資格なし","1278.00","3.65","0.0345","6551","29","0.0044","349.95","12.07","1","0.2738","0","0.0000","0.00","0.0000","0"
"B07RTNMPDX-23-0YER-18BE","","","利用資格あり","1278.00","13.24","0.1111","1010","9","0.0089","96.54","10.73","1","0.0755","0","0.0000","0.00","0.0000","0"
"B077TT3FF4-AJ-KDS6-2KPZ","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TT44WS-9F-4ETV-5M6M","","","利用資格あり","0.00","0.00","0.0000","33","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TT4WKS-ML-V17W-06MQ","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TT5D6K-WT-ZM65-5UK0","","","利用資格あり","0.00","0.00","0.0000","100","1","0.0100","4.00","4.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TTV93C-7R-CZ5K-RYAJ","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TVGDCQ-87-E8P9-I7SP","","","利用資格あり","0.00","0.00","0.0000","55","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TVGFSG-5K-BESC-9BL4","","","利用資格あり","0.00","0.00","0.0000","11","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TVGM9Y-AE-2JRE-R33N","","","利用資格あり","0.00","0.00","0.0000","4","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TVGNYX-7W-0F9Q-FPBV","","","利用資格あり","0.00","0.00","0.0000","6","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TX95H8-HS-Z1MW-I06B","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TYM9G3-3C-S1I5-ZLXX","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TYSS5Q-OO-N5NC-53SV","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TZ3C52-7S-9Z7A-9N5X","","","利用資格あり","0.00","0.00","0.0000","96","1","0.0104","1.20","1.20","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TZ3C77-SM-SOZD-YCO1","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TZ52JJ-8I-ZLSJ-AKO0","","","利用資格あり","0.00","0.00","0.0000","23","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TZ5B3P-VI-FGWQ-U4JQ","","","利用資格あり","0.00","0.00","0.0000","24","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TZ6DMJ-8J-B84R-9FQ8","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TZR4R8-G3-7VTX-A8HN","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V12V15-ZX-E3Z1-XZXW","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V15CP2-ST-QL51-1O4P","","","利用資格あり","0.00","0.00","0.0000","30","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V1NWKX-84-R9G1-922E","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V1SGCV-NW-P04L-6P5F","","","利用資格あり","0.00","0.00","0.0000","24","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V1SGXY-SK-DONL-JYYY","","","利用資格あり","0.00","0.00","0.0000","77","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V2FCXS-9W-X2Z4-B0TS","","","利用資格あり","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V2RBZC-UM-5DK5-4OOK","","","利用資格あり","0.00","0.00","0.0000","10","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V31B1F-S9-WMSI-0XRG","","","利用資格あり","0.00","0.00","0.0000","9","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V3BSHD-T2-P821-U7AD","","","利用資格あり","0.00","0.00","0.0000","8","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V3QCKG-QO-FHC9-QIWP","","","利用資格あり","0.00","0.00","0.0000","18","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V4KGYG-OZ-CR1T-VCNN","","","利用資格あり","0.00","0.00","0.0000","21","1","0.0476","4.00","4.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V547KW-3I-5YMQ-78CH","","","利用資格あり","0.00","0.00","0.0000","30","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V5TP9Z-9F-8GXS-MQIG","","","利用資格あり","0.00","0.00","0.0000","89","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V63T99-3L-RKNM-171N","","","利用資格あり","0.00","0.00","0.0000","6","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V65KJV-YK-QIKK-R32H","","","利用資格あり","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077VSN4H6-YV-GX4F-U1JK","","","広告配信の利用資格なし","0.00","0.00","0.0000","46","1","0.0217","1.30","1.30","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077VSSFGH-B1-V2N2-J8BN","","","利用資格あり","0.00","0.00","0.0000","25","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077VSSXJX-O5-VCC0-95D9","","","利用資格あり","0.00","0.00","0.0000","14","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077VSVXYC-M9-CRQJ-1EUU","","","利用資格あり","0.00","0.00","0.0000","24","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077VT3Z3N-U0-2W5T-JP0A","","","広告配信の利用資格なし","0.00","0.00","0.0000","40","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077VTPBC2-PK-LF7F-7NQF","","","利用資格あり","0.00","0.00","0.0000","49","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077VVKF43-ML-8QBG-3WLZ","","","利用資格あり","0.00","0.00","0.0000","33","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077VWS1WM-6I-0H96-18IA","","","広告配信の利用資格なし","0.00","0.00","0.0000","4","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077VYDWWP-MH-OWU7-QZ6B","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077WJ3XKY-6H-040M-0Z6H","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077WKV76K-O6-48G1-BEO9","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0782N7XDJ-9Y-JT9A-8XY3","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0782PTKL2-AT-Q90Z-740H","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0782RGD4B-7X-VY3C-UC8R","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0782T4WWX-Y3-VNGR-5K0V","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0782TQTTP-AK-S238-Z893","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0782TSXGW-PY-J89Y-G729","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0782VLBQ7-3S-5LM9-29LD","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0782YMNPM-A7-JDDC-6AWM","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0784YYFKX-6Z-HWUF-VHZ9","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0785671P8-EV-TGZ8-084V","","","利用資格あり","0.00","0.00","0.0000","57","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0786KYY7Y-LS-09E0-R73C","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07C76HLX1-8Q-579N-RMNK","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07C76HMBS-EC-FOVX-FOBJ","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07C7JX67Y-97-W48L-K89A","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07C7KGKBH-HM-5URZ-2K38","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07C7NS57M-JQ-MLRE-AH9L","","","利用資格あり","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07C7PVL42-T8-FSOJ-B0V1","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07K5QMCP2-EQ-E9S7-QXE3","","","利用資格あり","0.00","0.00","0.0000","129","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07K5QW4S4-X8-CEJ2-IGKF","","","利用資格あり","0.00","0.00","0.0000","139","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
